Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
295,5,8,PetPaint,No,Pet Products,Male,,,,,,,,,,,,0,,
296,5,9,Surprise Ride,No,Children / Education,Female,,,,,,,,,,,,0,,
297,5,9,Slawsa,No,Food and Beverage,Female,,,,,,,,,,,,0,,
298,5,9,DoorBot,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
299,5,9,Magic Moments,No,Software / Tech,Male,,,,,,,,,,,,0,,
300,5,10,Grace & Lace Knitted Boot Socks,Yes,Fashion / Beauty,Mixed Team,"1,75,000",10%,"17,50,000",1,,,,,,,,1,"1,75,000",half of investment is credit line
301,5,10,Yubo Customized Lunch Boxes,Yes,Children / Education,Mixed Team,"1,50,000",20%,"7,50,000",,,,1,,1,,,2,"75,000","if they pay it back in 18 months, equity drops to 10%"
302,5,10,PurseCase,Yes,Fashion / Beauty,Female,"55,000",15%,"3,66,667",,,,,1,,,,1,"55,000",
303,5,10,Chocomize Chocolate Bars,No,Food and Beverage,Male,,,,,,,,,,,,0,,
304,5,11,De-Boned Baby Back Rib Steak,Yes,Food and Beverage,Mixed Team,"3,00,000",30%,"10,00,000",,,,,1,,,,1,"3,00,000",
305,5,11,SpiritHoods,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
306,5,11,FoHawx,No,Fitness / Sports,Female,,,,,,,,,,,,0,,
307,5,11,Virtuix Omni,No,Software / Tech,Male,,,,,,,,,,,,0,,
308,5,12,Tipsy Elves,Yes,Fashion / Beauty,Male,"1,00,000",10%,"10,00,000",,,,1,,,,,1,"1,00,000",
309,5,12,One Life Products,Yes,Lifestyle / Home,Male,"50,000",35%,"1,42,857",,,,,1,,,,1,"50,000",
310,5,12,Cashmere Hair,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
311,5,12,Lite-Netics,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
312,5,13,GrooveBook,Yes,Software / Tech,Mixed Team,"1,50,000",n/a,n/a,,1,,,,1,,,2,"75,000",Sold to Shutterfly for 14.5M; deal was for 80% of the licensing rights
313,5,13,The Wall DoctoRX,Yes,Lifestyle / Home,Male,"1,50,000",0%,n/a,,,,1,,,,,1,"1,50,000",exclusive rights to sell internationally
314,5,13,Bounce Boot Camp,No,Children / Education,Male,,,,,,,,,,,,0,,
315,5,13,EyeBloc,No,Software / Tech,Male,,,,,,,,,,,,0,,
